date,customer_id,product,price,quantity,coupon_code,shipping_city
01-01-2025,CUST1078,Tablet,583.56,3,SAVE15,Oakville
01-01-2025,CUST1055,Smartphone,1103.7,4,WELCOME10,Brampton
02-01-2025,CUST1056,Tablet,378.12,5,WELCOME10,Toronto
04-01-2025,CUST1041,USB Drive,29.47,4,TECH20,Markham
04-01-2025,CUST1019,Keyboard,118.27,1,SAVE15,
05-01-2025,CUST1028,Smartwatch,214.3,4,SAVE15,Windsor
05-01-2025,CUST1120,Smartwatch,202.13,3,NEW25,Kitchener
07-01-2025,CUST1005,Webcam,160.33,5,NEW25,Markham
07-01-2025,CUST1093,Smartphone,928.29,3,SAVE15,Oakville
09-01-2025,CUST1129,Webcam,245.5,4,NONE,Windsor
09-01-2025,CUST1045,Keyboard,118.33,3,WELCOME10,Brampton
09-01-2025,CUST1067,Keyboard,141.19,5,SUMMER10,Waterloo
10-01-2025,CUST1093,Tablet,555.94,3,SAVE15,Vaughan
10-01-2025,CUST1066,Laptop,1696.44,,NONE,Brampton
13-01-2025,CUST1124,Headphones,146.94,1,TECH20,Oakville
14-01-2025,CUST1034,Headphones,74.08,1,TECH20,Ottawa
14-01-2025,CUST1023,Webcam,131.61,3,SUMMER10,Mississauga
17-01-2025,CUST1116,Keyboard,74.66,3,TECH20,London
19-01-2025,CUST1049,Webcam,144.68,3,TECH20,London
19-01-2025,CUST1033,Headphones,193.55,5,SUMMER10,Richmond Hill
20-01-2025,CUST1121,Smartphone,782.54,2,SAVE15,London
20-01-2025,CUST1036,Webcam,58.05,3,NONE,Burlington
21-01-2025,CUST1092,Monitor,554.54,2,NEW25,Vaughan
23-01-2025,CUST1100,Tablet,811.33,3,TECH20,Hamilton
24-01-2025,CUST1084,Mouse,110.34,1,TECH20,Richmond Hill
24-01-2025,CUST1014,Webcam,75.32,5,TECH20,Hamilton
25-01-2025,CUST1012,Monitor,552.37,1,NEW25,Ottawa
25-01-2025,CUST1013,Keyboard,117.5,3,FREESHIP,Waterloo
25-01-2025,CUST1063,USB Drive,57.04,1,FREESHIP,Burlington
27-01-2025,CUST1053,Smartwatch,350.16,3,SUMMER10,Brampton
27-01-2025,CUST1074,Tablet,807.66,5,TECH20,Richmond Hill
27-01-2025,CUST1124,Headphones,310.63,3,SUMMER10,Windsor
28-01-2025,CUST1049,Webcam,142.4,5,TECH20,Waterloo
29-01-2025,CUST1003,Tablet,586.89,2,WELCOME10,Burlington
29-01-2025,CUST1036,Keyboard,110.96,5,TECH20,Vaughan
29-01-2025,CUST1117,Webcam,139.1,2,SUMMER10,Oakville
31-01-2025,CUST1043,Keyboard,159.7,4,WELCOME10,Oakville
31-01-2025,CUST1146,Keyboard,152.03,3,SUMMER10,Markham
02-02-2025,CUST1087,Smartphone,647.91,1,SUMMER10,Kitchener
02-02-2025,CUST1107,Headphones,258.99,4,TECH20,Kitchener
02-02-2025,CUST1122,Tablet,568.26,4,NONE,Richmond Hill
02-02-2025,CUST1139,Tablet,441.17,1,WELCOME10,Windsor
03-02-2025,CUST1055,Monitor,330.52,5,NEW25,Richmond Hill
03-02-2025,CUST1103,Smartwatch,145.63,4,WELCOME10,Waterloo
04-02-2025,CUST1089,Laptop,1092.8,2,NEW25,Cambridge
04-02-2025,CUST1061,Headphones,61.24,4,WELCOME10,Windsor
04-02-2025,CUST1026,Laptop,964.73,5,WELCOME10,Burlington
05-02-2025,CUST1072,Tablet,429.78,3,NEW25,Kitchener
05-02-2025,CUST1037,USB Drive,56.01,1,WELCOME10,Hamilton
06-02-2025,CUST1132,Laptop,1645.6,2,TECH20,Cambridge
07-02-2025,CUST1033,Tablet,776.34,3,NEW25,Mississauga
07-02-2025,CUST1049,USB Drive,52.2,5,NEW25,Cambridge
07-02-2025,CUST1016,Tablet,408.2,2,FREESHIP,Oakville
08-02-2025,CUST1013,Laptop,1276.34,1,FREESHIP,Brampton
09-02-2025,CUST1024,Monitor,524.26,5,SUMMER10,Kitchener
09-02-2025,CUST1074,Keyboard,71.19,2,TECH20,Richmond Hill
10-02-2025,CUST1098,Headphones,92.69,5,NEW25,Vaughan
11-02-2025,CUST1070,USB Drive,13.48,4,NEW25,Oakville
11-02-2025,CUST1121,Tablet,376.59,1,NEW25,Kitchener
11-02-2025,CUST1036,Monitor,551.86,2,SAVE15,Oakville
12-02-2025,CUST1145,Smartwatch,295.48,1,NONE,Ottawa
