date,customer_id,product,price,quantity,coupon_code,shipping_city,discount_percent,discounted_price,revenue,days_since_purchase,gross_value,city,province,country,province_code,timezone,population,latitude,longitude
2025-01-01,CUST1078,Tablet,583.56,3.0,SAVE15,Oakville,15.0,496.02599999999995,1488.078,345,1750.6799999999998,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-01-01,CUST1055,Smartphone,1103.7,4.0,WELCOME10,Brampton,10.0,993.33,3973.32,345,4414.8,Brampton,Ontario,Canada,ON,America/Toronto,656480,43.7315,-79.7624
2025-02-01,CUST1056,Tablet,378.12,5.0,WELCOME10,Toronto,10.0,340.308,1701.54,314,1890.6,Toronto,Ontario,Canada,ON,America/Toronto,2794356,43.6532,-79.3832
2025-04-01,CUST1041,USB Drive,29.47,4.0,TECH20,Markham,20.0,23.576,94.304,255,117.88,Markham,Ontario,Canada,ON,America/Toronto,338503,43.8561,-79.337
2025-05-01,CUST1028,Smartwatch,214.3,4.0,SAVE15,Windsor,15.0,182.155,728.62,225,857.2,Windsor,Ontario,Canada,ON,America/Toronto,233763,42.3149,-83.0364
2025-05-01,CUST1120,Smartwatch,202.13,3.0,NEW25,Kitchener,25.0,151.5975,454.7925,225,606.39,Kitchener,Ontario,Canada,ON,America/Toronto,256885,43.4516,-80.4925
2025-07-01,CUST1005,Webcam,160.33,5.0,NEW25,Markham,25.0,120.2475,601.2375,164,801.6500000000001,Markham,Ontario,Canada,ON,America/Toronto,338503,43.8561,-79.337
2025-07-01,CUST1093,Smartphone,928.29,3.0,SAVE15,Oakville,15.0,789.0464999999999,2367.1394999999998,164,2784.87,Oakville,Ontario,Canada,ON,America/Toronto,213759,43.4675,-79.6877
2025-09-01,CUST1129,Webcam,245.5,4.0,NONE,Windsor,0.0,245.5,982.0,102,982.0,Windsor,Ontario,Canada,ON,America/Toronto,233763,42.3149,-83.0364
2025-09-01,CUST1045,Keyboard,118.33,3.0,WELCOME10,Brampton,10.0,106.497,319.491,102,354.99,Brampton,Ontario,Canada,ON,America/Toronto,656480,43.7315,-79.7624
2025-09-01,CUST1067,Keyboard,141.19,5.0,SUMMER10,Waterloo,10.0,127.071,635.355,102,705.95,Waterloo,Ontario,Canada,ON,America/Toronto,121436,43.4643,-80.5204
2025-10-01,CUST1093,Tablet,555.94,3.0,SAVE15,Vaughan,15.0,472.54900000000004,1417.6470000000002,72,1667.8200000000002,Vaughan,Ontario,Canada,ON,America/Toronto,323103,43.8563,-79.5085
2025-02-02,CUST1087,Smartphone,647.91,1.0,SUMMER10,Kitchener,10.0,583.119,583.119,313,647.91,Kitchener,Ontario,Canada,ON,America/Toronto,256885,43.4516,-80.4925
2025-02-02,CUST1107,Headphones,258.99,4.0,TECH20,Kitchener,20.0,207.192,828.768,313,1035.96,Kitchener,Ontario,Canada,ON,America/Toronto,256885,43.4516,-80.4925
2025-02-02,CUST1122,Tablet,568.26,4.0,NONE,Richmond Hill,0.0,568.26,2273.04,313,2273.04,Richmond Hill,Ontario,Canada,ON,America/Toronto,202022,43.8828,-79.4403
2025-02-02,CUST1139,Tablet,441.17,1.0,WELCOME10,Windsor,10.0,397.053,397.053,313,441.17,Windsor,Ontario,Canada,ON,America/Toronto,233763,42.3149,-83.0364
